150,-,0.9,后驱,AT,66,汽油,976,H4BA402,-
5739,-,1.2,前驱,CVT,96,汽油,1335,245T,-
9072,跨越王X1,1.2,后驱,MT,67,汽油,1100,LJ469Q-AEB,-
14179,宝骏530,1.5,前驱,CVT,108,汽油,1564,LJO,-
14180,宝骏530,1.5,前驱,CVT,108,汽油,1599,LJO,-
14181,宝骏530,1.5,前驱,CVT,108,汽油,1541,LJO,-
14182,宝骏530,1.5,前驱,CVT,108,汽油,1560,LJO,-
14183,宝骏530,1.5,前驱,MT,108,汽油,1541,LJO,-
14184,宝骏530,1.5,前驱,MT,108,汽油,1465,LJO,-
14185,宝骏530,1.5,前驱,MT,108,汽油,1490,LJO,-
14535,嘉际新能源,1.5,前驱,DCT,130,插电式混合动力,1846,JLH-3G15TD,-
14633,长安欧尚科赛3,1.5,前驱,MT,78.5,汽油,1210,JL473QF,-
14634,长安欧尚科赛3,1.5,前驱,DCT,78.5,汽油,1235,JL473QF,-
15297,五菱荣光新卡,1.5,后驱,MT,73,汽油,1340,L3C,-
15298,五菱荣光新卡,1.5,后驱,MT,73,汽油,1390,L3C,-
15301,宝骏RS-3,1.5,前驱,CVT,77,汽油,1260,L2B,-
15302,宝骏RS-3,1.5,前驱,CVT,77,汽油,1300,L2B,-
15747,名爵HS,1.5,前驱,MT,127,汽油,1533,15C4E,-
15748,名爵HS,1.5,前驱,DCT,127,汽油,1557,15C4E,-
17652,奔驰C级(进口) 260,1.5,后驱,AT,135,汽油,1650,264915,-
17653,奔驰C级(进口) 260,1.5,后驱,AT,135,汽油,1650,264915,-
17654,奔驰C级(进口) 260,1.5,后驱,AT,135,汽油,1630,264915,-
17655,奔驰C级(进口) 260 4MATIC,1.5,四驱,AT,135,汽油,1720,264915,-
17656,奔驰C级(进口) 260 4MATIC,1.5,四驱,AT,135,汽油,1685,264915,-
17657,奔驰C级(进口) 260,1.5,后驱,AT,135,汽油,1653,264915,-
17722,奔驰E级(进口) E 260,1.5,后驱,AT,135,汽油,1731,264915,-
17733,奔驰E级(进口) E 260 4 MATIC,1.5,四驱,AT,135,汽油,1801,264915,-
