RY00001,胜达,2.0,前驱,AT,176.5,汽油,1775,G4KH,4930*1910*1720
RY00002,胜达,2.0,前驱,AT,176.5,汽油,1830,G4KH,4930*1910*1720
RY00003,胜达,2.0,四驱,AT,176.5,汽油,1881,G4KH,4930*1910*1720
RY00004,领动,1.4,前驱,DCT,95.6,汽油,1319,G4LD,4610*1800*1450
RY00005,领动,1.5,前驱,CVT,84.5,汽油,1300,G4FL,4610*1800*1450
RY00006,领动,1.5,前驱,MT,84.5,汽油,1238,G4FL,4610*1800*1450
RY00007,-,1.5,后驱,MT,85,汽油,1380,DAM15KL,5105*1670;1720*2060
RY00008,-,1.5,后驱,MT,85,汽油,1325,DAM15KL,4870;5105*1670;1720*2050
RY00009,北京BJ80,2.3,四驱,AT,184,汽油,2450,B231R,4765*1975*2005
RY00010,蒙派克E,2.0,后驱,MT,100,汽油,1780,1TZS,5245*1825*2030
RY00011,时代,1.5,后驱,MT,85,汽油,1665,DAM15KL,5065;5435*1700;1800*2600
RY00012,时代,1.5,后驱,MT,85,汽油,1750,DAM15KL,4500*1660*2060
RY00013,-,1.5,后驱,MT,85,汽油,1545,DAM15KL,4870;5105*1670;1720*2600
RY00014,-,1.5,后驱,MT,85,汽油,1580,DAM15KL,5105*1670;1720*2600
RY00015,-,1.5,后驱,MT,85,汽油,1545,DAM15KL,4870;5105*1715;1765*2575
RY00016,-,1.5,后驱,MT,85,汽油,1580,DAM15KL,5040*1715;1765*2575
RY00017,奔驰GLC300L 4MATIC,2.0,四驱,AT,190,汽油,1930,264920,4764*1898*1642
RY00018,奔驰GLC260L 4MATIC,2.0,四驱,AT,145,汽油,1910,264920,4764*1898*1642
RY00019,奔驰GLC,2.0,后驱,AT,145,汽油,1840,264920,4764*1898*1642
RY00020,-,2.0,后驱,MT,100,汽油,1885,1TZS,5245*1825*2030
RY00021,智达X3,1.5,前驱,MT,85,汽油,1250,A151,4300;4325*1815;1830*1640
RY00022,智达X3,1.5,前驱,AT,85,汽油,1270,A151,4300;4325*1815;1830*1640
RY00023,智达X3,1.5,前驱,CVT,110,汽油,1340,A151R1,4325*1830*1640
RY00024,智达X3,1.5,前驱,MT,110,汽油,1325,A151R1,4325*1830*1640
RY00025,绅宝D50,1.5,前驱,CVT,110,汽油,1288,A151R1,4630*1820*1480
RY00026,绅宝D50,1.5,前驱,MT,110,汽油,1281,A151R1,4630*1820*1480
RY00027,奔驰C 260,1.5,四驱,AT,135,汽油,1710,264915,4704*1810*1454
RY00028,奔驰C260L 4MATIC,1.5,四驱,AT,135,汽油,1750,264915,4784*1810*1457
RY00029,奔驰C 200 L,1.5,后驱,AT,115,汽油,1620,264915,4784*1810*1457
RY00030,奔驰C300,2.0,后驱,AT,190,汽油,1640,264920,4704*1810*1454
