cxk_0001,一汽大众合资大众宝来,1.6,5,74,4178
cxk_0002,一汽大众合资大众宝来,1.6,4,74,4376
cxk_0003,一汽大众合资大众宝来,1.6,4,74,4383
cxk_0004,一汽大众合资大众宝来,1.6,4,78,4376
cxk_0005,一汽大众合资大众宝来,1.8,5,92,4178
cxk_0006,一汽大众合资大众宝来,1.8,4,92,4376
cxk_0007,一汽大众合资大众宝来,1.8,4,92,4383
cxk_0008,一汽大众合资大众宝来,1.8,4,110,4376
cxk_0009,一汽大众合资大众宝来,1.8,4,132,4376
cxk_0010,一汽大众合资大众宝来,1.9,4,74,4376
cxk_0011,一汽大众合资大众捷达,1.4,4,66,4487
cxk_0012,一汽大众合资大众捷达,1.4,4,66,4501
cxk_0013,一汽大众合资大众捷达,1.4,4,96,4487
cxk_0014,一汽大众合资大众捷达,1.4,4,96,4501
cxk_0015,一汽大众合资大众捷达,1.5,4,81,4501
cxk_0016,一汽大众合资大众捷达,1.6,4,81,4487
cxk_0017,一汽大众合资大众捷达,1.6,4,68,4416
cxk_0018,一汽大众合资大众捷达,1.6,4,68,4428
cxk_0019,一汽大众合资大众捷达,1.6,4,70,4416
cxk_0020,一汽大众合资大众捷达,1.6,4,70,4415
cxk_0021,一汽大众合资大众捷达,1.9,4,47,4415
cxk_0022,一汽大众合资大众捷达,1.9,4,47,4416
cxk_0023,大众汽车进口大众Touareg [途锐],2.0,5,180,4878
cxk_0024,大众汽车进口大众Touareg [途锐],2.0,5,185,4878
cxk_0025,大众汽车进口大众Touareg [途锐],3.0,5,176,4754
cxk_0026,大众汽车进口大众Touareg [途锐],3.0,5,176,4795
cxk_0027,大众汽车进口大众Touareg [途锐],3.0,5,180,4795
cxk_0028,大众汽车进口大众Touareg [途锐],3.0,5,213,4795
cxk_0029,大众汽车进口大众Touareg [途锐],3.0,5,213,4802
cxk_0030,大众汽车进口大众Touareg [途锐],3.0,5,235,4801
cxk_0031,大众汽车进口大众Touareg [途锐],3.0,5,245,4795
cxk_0032,大众汽车进口大众Touareg [途锐],3.0,5,250,4878
cxk_0033,大众汽车进口大众Touareg [途锐],3.2,5,162,4754
cxk_0034,大众汽车进口大众Touareg [途锐],3.6,5,206,4754
cxk_0035,大众汽车进口大众Touareg [途锐],3.6,5,206,4795
cxk_0036,大众汽车进口大众Touareg [途锐],4.2,5,228,4754
cxk_0037,大众汽车进口大众Touareg [途锐],4.2,5,257,4754
cxk_0038,大众汽车进口大众Touareg [途锐],4.2,5,265,4795
cxk_0039,大众汽车进口大众Touareg [途锐],6.0,5,331,4754
cxk_0040,大众汽车进口大众Sharan [夏朗],1.4,5,110,4854
cxk_0041,大众汽车进口大众Sharan [夏朗],1.8,5,110,4634
cxk_0042,大众汽车进口大众Sharan [夏朗],1.8,5,118,4854
cxk_0043,大众汽车进口大众Sharan [夏朗],2.0,5,147,4854
cxk_0044,大众汽车进口大众Sharan [夏朗],2.0,5,162,4854
cxk_0045,大众汽车进口大众Sharan [夏朗],2.8,5,150,4634
cxk_0046,上海大众合资大众高尔,1.6,5,64,3895
cxk_0047,上海大众合资大众高尔,1.6,3,64,3895
cxk_0048,上汽大众合资大众POLO,1.4,5,55,3897
cxk_0049,上汽大众合资大众POLO,1.4,4,55,4187
cxk_0050,上汽大众合资大众POLO,1.4,5,63,3916
cxk_0051,上汽大众合资大众POLO,1.4,5,63,3970
cxk_0052,上汽大众合资大众POLO,1.4,4,63,4176
cxk_0053,上汽大众合资大众POLO,1.4,4,63,4200
cxk_0054,上汽大众合资大众POLO,1.4,5,66,3970
