2739,大众,一汽-大众,宝来HS-两厢,1.6,自动变速箱(AT),2006,宝来HS-两厢
2724,大众,一汽-大众,宝来HS-两厢,1.6,自动变速箱(AT),2006,宝来HS-两厢
1519,大众,一汽-大众,宝来/宝来经典,1.6,自动变速箱(AT),2005,宝来/宝来经典 2005款 1.6自动基本
1520,大众,一汽-大众,宝来/宝来经典,1.6,自动变速箱(AT),2005,宝来/宝来经典 2005款 1.6自动天窗
2418,大众,一汽-大众,宝来/宝来经典,1.6,自动变速箱(AT),2006,宝来/宝来经典 2006款 1.6 自动时尚 TL
2420,大众,一汽-大众,宝来/宝来经典,1.6,自动变速箱(AT),2006,宝来/宝来经典 2006款 1.6 自动豪华 HL
2738,大众,一汽-大众,宝来HS-两厢,1.6,手动变速箱(MT),2006,宝来HS-两厢
2740,大众,一汽-大众,宝来HS-两厢,1.6,手动变速箱(MT),2006,宝来HS-两厢
1517,大众,一汽-大众,宝来/宝来经典,1.6,手动变速箱(MT),2005,宝来/宝来经典 2005款 1.6手动基本
1518,大众,一汽-大众,宝来/宝来经典,1.6,手动变速箱(MT),2005,宝来/宝来经典 2005款 1.6手动天窗
2416,大众,一汽-大众,宝来/宝来经典,1.6,手动变速箱(MT),2006,宝来/宝来经典 2006款 1.6 手动时尚 TL
2419,大众,一汽-大众,宝来/宝来经典,1.6,手动变速箱(MT),2006,宝来/宝来经典 2006款 1.6 手动豪华 HL
456,大众,一汽-大众,宝来/宝来经典,1.6,自动变速箱(AT),2004,宝来/宝来经典 2004款 1.6 自动基本
466,大众,一汽-大众,宝来/宝来经典,1.6,自动变速箱(AT),2004,宝来/宝来经典 2004款 1.6 自动天窗
454,大众,一汽-大众,宝来/宝来经典,1.6,手动变速箱(MT),2004,宝来/宝来经典 2004款 1.6 手动基本
763,大众,一汽-大众,宝来/宝来经典,1.6,手动变速箱(MT),2004,宝来/宝来经典 2004款 1.6 手动天窗
2742,大众,一汽-大众,宝来HS-两厢,1.8,自动变速箱(AT),2006,宝来HS-两厢
524,大众,一汽-大众,宝来/宝来经典,1.8,自动变速箱(AT),2004,宝来/宝来经典 2004款 1.8 自动舒适
764,大众,一汽-大众,宝来/宝来经典,1.8,自动变速箱(AT),2004,宝来/宝来经典 2004款 1.8 自动豪华
518,大众,一汽-大众,宝来/宝来经典,1.8,自动变速箱(AT),2004,宝来/宝来经典 2004款 1.8 自动尊贵
1792,大众,一汽-大众,宝来/宝来经典,1.8,自动变速箱(AT),2005,宝来/宝来经典 2005款 1.8自动舒适
1793,大众,一汽-大众,宝来/宝来经典,1.8,自动变速箱(AT),2005,宝来/宝来经典 2005款 1.8自舒天窗
2421,大众,一汽-大众,宝来/宝来经典,1.8,自动变速箱(AT),2006,宝来/宝来经典 2006款 1.8 自动豪华 HL
2741,大众,一汽-大众,宝来HS-两厢,1.8,手动变速箱(MT),2006,宝来HS-两厢
534,大众,一汽-大众,宝来/宝来经典,1.8,手动变速箱(MT),2004,宝来/宝来经典 2004款 1.8 手动舒适
